"","dE","alphaB","powerwo","powerwEB","powerwEBdiff","powerwo_orig"
"X",-3,0.0219335565356408,0.686034711079641,0.686037602888564,2.89180892276697e-06,0.705413902442457
"X.1",-2.99,0.0219335565356408,0.686034711079641,0.685984270348751,-5.04407308901111e-05,0.705413902442457
"X.2",-2.98,0.0219155172751448,0.685912423277505,0.685930931705114,1.85084276089764e-05,0.705413902442457
"X.3",-2.97,0.0218998110284949,0.685805865051482,0.685866523264715,6.06582132333111e-05,0.705413902442457
"X.4",-2.96,0.0218998110284949,0.685805865051482,0.685807768696404,1.90364492202999e-06,0.705413902442457
"X.5",-2.95,0.0218932457939224,0.68576129983414,0.685761299915774,8.16336997999656e-11,0.705413902442457
"X.6",-2.94,0.0218827013913942,0.685689694485027,0.685700393827857,1.0699342829823e-05,0.705413902442457
"X.7",-2.93,0.0218738700369586,0.685629694365802,0.685653279857408,2.35854916056377e-05,0.705413902442457
"X.8",-2.92,0.0218525898947502,0.685485013081482,0.685593149973153,0.00010813689167144,0.705413902442457
"X.9",-2.91,0.0218558649306906,0.685507289281718,0.685537439239549,3.01499578312381e-05,0.705413902442457
"X.10",-2.9,0.0218558649306906,0.685507289281718,0.685486676663789,-2.06126179286281e-05,0.705413902442457
"X.11",-2.89,0.0218177518214115,0.685247834296828,0.685415150061067,0.000167315764238563,0.705413902442457
"X.12",-2.88,0.0218177518214115,0.685247834296828,0.685362768785387,0.000114934488558371,0.705413902442457
"X.13",-2.87,0.0218177518214115,0.685247834296828,0.685303678936814,5.58446399860912e-05,0.705413902442457
"X.14",-2.86,0.0218194789501549,0.685259601983515,0.685258762526606,-8.39456909207392e-07,0.705413902442457
"X.15",-2.85,0.0218108062835394,0.685200501451483,0.685184354467308,-1.61469841751805e-05,0.705413902442457
"X.16",-2.84,0.0217931885565906,0.685080368382427,0.685133372047261,5.30036648344057e-05,0.705413902442457
"X.17",-2.83,0.0217931885565906,0.685080368382427,0.685077486071952,-2.88231047507193e-06,0.705413902442457
"X.18",-2.82,0.0217800696779751,0.684990846367651,0.685012958585016,2.21122173642563e-05,0.705413902442457
"X.19",-2.81,0.0217721738215625,0.684936938572592,0.68493693891275,3.40158234912735e-10,0.705413902442457
"X.20",-2.8,0.0217664344149285,0.684897740781454,0.684897741121658,3.40203198945233e-10,0.705413902442457
"X.21",-2.79,0.0217585419088014,0.684843820542721,0.684846522196837,2.7016541157554e-06,0.705413902442457
"X.22",-2.78,0.0217454378058224,0.684754250372156,0.684755662916507,1.41254435104265e-06,0.705413902442457
"X.23",-2.77,0.0217454378058224,0.684754250372156,0.684726484341755,-2.77660304009997e-05,0.705413902442457
"X.24",-2.76,0.0217278580116426,0.684633998895211,0.684650172351838,1.61734566265226e-05,0.705413902442457
"X.25",-2.75,0.0217278580116426,0.684633998895211,0.684585585374266,-4.84135209448677e-05,0.705413902442457
"X.26",-2.74,0.0217067483559131,0.684489467495095,0.684530679572392,4.12120772975699e-05,0.705413902442457
"X.27",-2.73,0.0217067483559131,0.684489467495095,0.684471483481577,-1.79840135174913e-05,0.705413902442457
