"","dE","alphaB","powerwo","powerwFix","powerwFixdiff","powerwo_orig"
"100",-2.01,0,0,5.1763627408063e-05,5.1763627408063e-05,0.705413902442457
"101",-2,0,0,5.71180720908613e-05,5.71180720908613e-05,0.705413902442457
"102",-1.99,0,0,6.29079674847734e-05,6.29079674847734e-05,0.705413902442457
"103",-1.98,0,0,6.86258675637062e-05,6.86258675637062e-05,0.705413902442457
"104",-1.97,0,0,7.53439398939262e-05,7.53439398939262e-05,0.705413902442457
"105",-1.96,0,0,8.25994828142276e-05,8.25994828142276e-05,0.705413902442457
"106",-1.95,0,0,8.97564230306253e-05,8.97564230306253e-05,0.705413902442457
"107",-1.94,0,0,9.81553933171938e-05,9.81553933171938e-05,0.705413902442457
"108",-1.93,0,0,0.000107215227392843,0.000107215227392843,0.705413902442457
"109",-1.92,0,0,0.000116983828409098,0.000116983828409098,0.705413902442457
"110",-1.91,0,0,0.000126604539286605,0.000126604539286605,0.705413902442457
"111",-1.9,0,0,0.000137877077148687,0.000137877077148687,0.705413902442457
"112",-1.89,0,0,0.000150016632776581,0.000150016632776581,0.705413902442457
"113",-1.88,0,0,0.000161958416197073,0.000161958416197073,0.705413902442457
"114",-1.87,0,0,0.000175934139435266,0.000175934139435266,0.705413902442457
"115",-1.86,0,0,0.000190966401469109,0.000190966401469109,0.705413902442457
"116",-1.85,0,0,0.00020712829763064,0.00020712829763064,0.705413902442457
"117",-1.84,0,0,0.000223001918506135,0.000223001918506135,0.705413902442457
"118",-1.83,0,0,0.000241549915456373,0.000241549915456373,0.705413902442457
"119",-1.82,0,0,0.000261467375260737,0.000261467375260737,0.705413902442457
"120",-1.81,0,0,0.000281006685556212,0.000281006685556212,0.705413902442457
"121",-1.8,0,0,0.000303811199725142,0.000303811199725142,0.705413902442457
"122",-1.79,0,0,0.000328269525026974,0.000328269525026974,0.705413902442457
"123",-1.78,0,0,0.000354490602774605,0.000354490602774605,0.705413902442457
"124",-1.77,0,0,0.000380173444884935,0.000380173444884935,0.705413902442457
"125",-1.76,0,0,0.000410100956964267,0.000410100956964267,0.705413902442457
"126",-1.75,0,0,0.000442146187113517,0.000442146187113517,0.705413902442457
"127",-1.74,0,0,0.000476444606317542,0.000476444606317542,0.705413902442457
"128",-1.73,0,0,0.000509986215579889,0.000509986215579889,0.705413902442457
"129",-1.72,0,0,0.000549009820140549,0.000549009820140549,0.705413902442457
"130",-1.71,0,0,0.000590726241954668,0.000590726241954668,0.705413902442457
"131",-1.7,0,0,0.000631474439105671,0.000631474439105671,0.705413902442457
"132",-1.69,0,0,0.00067882689405221,0.00067882689405221,0.705413902442457
"133",-1.68,0,0,0.000729385038517385,0.000729385038517385,0.705413902442457
"134",-1.67,0,0,0.000783343266937574,0.000783343266937574,0.705413902442457
"135",-1.66,0,0,0.000835966345461007,0.000835966345461007,0.705413902442457
"136",-1.65,0,0,0.000897022062108681,0.000897022062108681,0.705413902442457
"137",-1.64,0,0,0.000962104205577589,0.000962104205577589,0.705413902442457
"138",-1.63,0,0,0.00102550167953754,0.00102550167953754,0.705413902442457
"139",-1.62,0,0,0.00109897212450958,0.00109897212450958,0.705413902442457
"140",-1.61,0,0,0.00117719200423705,0.00117719200423705,0.705413902442457
"141",-1.6,0,0,0.00126043343691801,0.00126043343691801,0.705413902442457
"142",-1.59,0,0,0.0013413927557847,0.0013413927557847,0.705413902442457
"143",-1.58,0,0,0.00143506772737693,0.00143506772737693,0.705413902442457
"144",-1.57,0,0,0.00153463461496282,0.00153463461496282,0.705413902442457
"145",-1.56,0,0,0.00164041964695211,0.00164041964695211,0.705413902442457
"146",-1.55,0,0,0.00174314288452471,0.00174314288452471,0.705413902442457
"147",-1.54,0,0,0.00186181302241198,0.00186181302241198,0.705413902442457
"148",-1.53,0,0,0.00198774026569505,0.00198774026569505,0.705413902442457
"149",-1.52,0,0,0.00210987963650298,0.00210987963650298,0.705413902442457
"150",-1.51,0,0,0.0022508147121028,0.0022508147121028,0.705413902442457
"151",-1.5,0,0,0.00240018571637894,0.00240018571637894,0.705413902442457
"152",-1.49,0,0,0.00255843124150285,0.00255843124150285,0.705413902442457
"153",-1.48,0,0,0.00271167562652476,0.00271167562652476,0.705413902442457
"154",-1.47,0,0,0.00288822412812749,0.00288822412812749,0.705413902442457
"155",-1.46,0,0,0.0030750332727567,0.0030750332727567,0.705413902442457
"156",-1.45,0,0,0.00325572686405263,0.00325572686405263,0.705413902442457
"157",-1.44,5.59456053665543e-10,0.000164420438034905,0.00346365482819835,0.00329923439016344,0.705413902442457
"158",-1.43,1.1783820060055e-08,0.00102278036452547,0.00368339828704672,0.00266061792252125,0.705413902442457
"159",-1.42,2.42176233980966e-08,0.0015534366577306,0.00391553131684217,0.00236209465911158,0.705413902442457
"160",-1.41,3.79858082030847e-08,0.00201092233685483,0.00413971225429241,0.00212878991743758,0.705413902442457
"161",-1.4,5.40712816193097e-08,0.00245804456484044,0.00439727610585352,0.00193923154101308,0.705413902442457
"162",-1.39,7.10232835185149e-08,0.0028673110535535,0.00466902942264953,0.00180171836909602,0.705413902442457
"163",-1.38,8.9772196119143e-08,0.00327043843353655,0.00495563373774536,0.00168519530420881,0.705413902442457
"164",-1.37,1.10500397438625e-07,0.00367291746318546,0.00523198507702644,0.00155906761384098,0.705413902442457
"165",-1.36,1.34677982185126e-07,0.00410006570298161,0.00554898846029802,0.00144892275731641,0.705413902442457
"166",-1.35,1.60116712939601e-07,0.00451214726140024,0.00588290715009472,0.00137075988869448,0.705413902442457
"167",-1.34,1.88207465331421e-07,0.00493266736608116,0.00620450343980132,0.00127183607372016,0.705413902442457
"168",-1.33,2.19214607874108e-07,0.00536352092844165,0.00657297508336376,0.00120945415492211,0.705413902442457
"169",-1.32,2.55322919959966e-07,0.00583002451229735,0.00696063407417911,0.00113060956188177,0.705413902442457
"170",-1.31,2.93253115495434e-07,0.00628706971060881,0.00736830860394721,0.0010812388933384,0.705413902442457
"171",-1.3,3.35071365546965e-07,0.00675900827250735,0.00776032204807336,0.00100131377556601,0.705413902442457
"172",-1.29,3.8115822026833e-07,0.00724711564937256,0.00820876801679247,0.000961652367419909,0.705413902442457
"173",-1.28,4.31929571973543e-07,0.0077526100604648,0.00867979176207443,0.000927181701609623,0.705413902442457
"174",-1.27,4.90933938873856e-07,0.00830478829758589,0.00913219074170336,0.000827402444117466,0.705413902442457
"175",-1.26,5.52790181395195e-07,0.00884963472201054,0.00964910857833001,0.000799473856319463,0.705413902442457
"176",-1.25,6.20852633357569e-07,0.00941539229188283,0.0101913880373171,0.000775995745434261,0.705413902442457
"177",-1.24,6.9571474743595e-07,0.0100031855017473,0.0107600349936132,0.000756849491865864,0.705413902442457
"178",-1.23,7.82575119159348e-07,0.0106469530074342,0.011305338873383,0.000658385865948801,0.705413902442457
"179",-1.22,8.73486114256012e-07,0.0112834891855642,0.0119274309030573,0.000643941717493102,0.705413902442457
"180",-1.21,9.73360312890992e-07,0.0119454878464026,0.0125789740196389,0.000633486173236348,0.705413902442457
"181",-1.2,1.08303859640356e-06,0.0126340815278321,0.0132030399047063,0.000568958376874215,0.705413902442457
"182",-1.19,1.21008852303499e-06,0.0133889034287798,0.0139141506653215,0.000525247236541727,0.705413902442457
"183",-1.18,1.34284767952152e-06,0.0141356748360686,0.0146580167071625,0.000522341871093925,0.705413902442457
"184",-1.17,1.48846539763622e-06,0.0149125604388582,0.0154358206578963,0.000523260219038039,0.705413902442457
"185",-1.16,1.6481247632267e-06,0.015720737737598,0.0161796519630735,0.000458914225475476,0.705413902442457
"186",-1.15,1.82311145414891e-06,0.0165613978101319,0.0170258995354566,0.000464501725324713,0.705413902442457
"187",-1.14,2.02540350573764e-06,0.0174827203431199,0.0179096747270253,0.000426954383905383,0.705413902442457
"188",-1.13,2.23635875241135e-06,0.0183938470315478,0.0188322548757473,0.000438407844199462,0.705413902442457
"189",-1.12,2.4672903446358e-06,0.0193411804787618,0.0197131524696821,0.000371971990920317,0.705413902442457
"190",-1.11,2.71999125697723e-06,0.0203259699293596,0.0207137619152245,0.000387791985864871,0.705413902442457
"191",-1.1,3.01164987219339e-06,0.0214044445799408,0.0217570298429501,0.000352585263009297,0.705413902442457
"192",-1.09,3.31530571193506e-06,0.0224700916333189,0.0227519965648356,0.00028190493151669,0.705413902442457
"193",-1.08,3.6471906146965e-06,0.023577095633753,0.0238808524992295,0.000303756865476557,0.705413902442457
"194",-1.07,4.00978727332216e-06,0.0247267618598416,0.0250563960889556,0.000329634229113966,0.705413902442457
"195",-1.06,4.42760417691531e-06,0.0259844751556723,0.0262800451565089,0.000295570000836611,0.705413902442457
"196",-1.05,4.86190248809077e-06,0.0272258533277502,0.0274452078369421,0.000219354509191947,0.705413902442457
"197",-1.04,5.33582445649649e-06,0.0285139534967041,0.0287650826734024,0.000251129176698256,0.705413902442457
"198",-1.03,5.85278331531329e-06,0.0298501276729726,0.0301372903798148,0.000287162706842183,0.705413902442457
"199",-1.02,6.41646712946923e-06,0.0312357372944479,0.0314423816867418,0.000206644392293991,0.705413902442457
"200",-1.01,7.06468028294593e-06,0.0327491864420369,0.0329190327785799,0.000169846336542975,0.705413902442457
"201",-1,7.73710145716548e-06,0.0342405686614279,0.0344523568539237,0.000211788192495801,0.705413902442457
"202",-0.99,8.46942561815137e-06,0.0357855898670458,0.0360438616343729,0.000258271767327026,0.705413902442457
"203",-0.98,9.26667792749915e-06,0.0373856387696427,0.0375551451544308,0.000169506384788111,0.705413902442457
"204",-0.97,1.01819965362182e-05,0.0391308796352664,0.0392624032698616,0.000131523634595163,0.705413902442457
"205",-0.96,1.11299589480025e-05,0.0408482449213093,0.0410322764062619,0.000184031484952586,0.705413902442457
