"","thetaE","mean.histdata","alphaB","powerwo_alphaB","powerwEB","powerwEBdiff"
"1",0,-0.0632835358115079,0.014044565845973,0.619421089804022,0.619419737392471,-1.35241155085897e-06
"2",0,-0.152917300633946,0.0145183452993376,0.624382735431188,0.624385939220317,3.20378912876951e-06
"3",0,-0.261429375905867,0.0151968054762895,0.63121663887845,0.631215299145363,-1.33973308669155e-06
"4",0,-0.108461183662423,0.0142632245315614,0.621731119687544,0.62172976965141,-1.35003613377371e-06
"5",0,0.152575445103286,0.0217294922130686,0.684645181650858,0.684648180039162,2.99838830375432e-06
"6",0,-0.113838557786478,0.0142923960576818,0.622036669275803,0.622039879426521,3.21015071802488e-06
"7",0,0.454576463752708,0.208606984565024,0.954364964920435,0.954364621504827,-3.43415608061726e-07
"8",0,-0.229755065417138,0.014996276550032,0.629228722391376,0.629231912659885,3.19026850892357e-06
"9",0,0.346192616236984,0.106602984843317,0.895297259510938,0.895296610669134,-6.48841803396749e-07
"10",0,0.548226158606256,0.1546277994909,0.930991317828396,0.930990842553435,-4.75274961497796e-07
"11",0,-0.0504794682021871,0.0139948476135344,0.618890913865548,0.618889560916188,-1.35294936076669e-06
"12",0,0.0144749832133111,0.0139035240927656,0.61791224549144,0.617915466535823,3.22104438288395e-06
"13",0,0.249675740890725,0.0514593676931489,0.807613257978303,0.807612281828409,-9.76149894582612e-07
"14",0,0.0622399186579254,0.0142028680301602,0.621096975655475,0.621095624962041,-1.3506934336549e-06
"15",0,0.306881703605168,0.0804521317803373,0.863889724760652,0.863888944533863,-7.80226789620642e-07
"16",0,-0.0522328606037213,0.0140012681424669,0.618959483687252,0.618958130807293,-1.35287995839395e-06
"17",0,0.183641711435753,0.0290463968521748,0.72741148473703,0.727410300865809,-1.18387122061137e-06
"18",0,-0.131277072414012,0.014390736476539,0.623062209092927,0.623065416477539,3.20738461223602e-06
"19",0,0.169821889197469,0.0255710867227697,0.708742606711573,0.708745499518285,2.89280671239567e-06
"20",0,-0.122716326577527,0.0143421492952011,0.622556384112738,0.622555034937904,-1.34917483352037e-06
"21",0,0.0858165246143578,0.0146291334367261,0.625519952549938,0.625523153212224,3.2006622864289e-06
"22",0,0.047361599497926,0.0140518649135004,0.619498769188483,0.619497416855962,-1.35233252107625e-06
"23",0,0.186509834737705,0.0298143417494974,0.731208073682031,0.73120689795985,-1.17572218083506e-06
"24",0,-0.036913066876394,0.0139504017072905,0.618415393872855,0.618414040443468,-1.35342938711869e-06
"25",0,0.101571896710359,0.0151321490352011,0.630578530599219,0.630581717010177,3.18641095797823e-06
"26",0,-0.00499636887687982,0.0138928890516781,0.617797865774832,0.617796511725366,-1.354049466884e-06
"27",0,0.448164753440937,0.201321343333263,0.951852705270213,0.951852346822965,-3.58447248438587e-07
"28",0,0.375169834196722,0.12947330568544,0.914830541966409,0.914829984489628,-5.5747678062712e-07
"29",0,-0.106154026261485,0.0142506139618124,0.621598843258496,0.621602054583156,3.21132466052365e-06
"30",0,0.226012428684532,0.0422166463383848,0.780675667367923,0.780678158366886,2.49099896298954e-06
"31",0,0.325037832571778,0.0918555029550265,0.879117132869335,0.879116414131047,-7.18738287108778e-07
"32",0,-0.0832608826958989,0.0141340970572531,0.620371188069614,0.620369836628727,-1.35144088708739e-06
"33",0,0.0873612247388804,0.0146687492114298,0.62592453902472,0.625923193434393,-1.34559032693993e-06
"34",0,0.25545890325677,0.053946310430532,0.81387380079713,0.813876058277186,2.25748005611148e-06
"35",0,0.0767642161781988,0.0144306748680833,0.623476736982133,0.623475388775717,-1.34820641584099e-06
"36",0,-0.0680036942076016,0.014064323809705,0.619631269958127,0.619629917760545,-1.3521975819053e-06
"37",0,0.24325658460786,0.048806661878172,0.800515508223843,0.800514510514948,-9.9770889561146e-07
"38",0,-0.475328712768381,0.0164657145661862,0.643220962618037,0.643219637195833,-1.32542220443455e-06
"39",0,-0.0854127807132978,0.0141444591595005,0.620480768163845,0.620479416835478,-1.351328366761e-06
"40",0,-0.331899437119612,0.0156353551542999,0.635474897510993,0.635473562691253,-1.33481973985106e-06
"41",0,-0.258090002180935,0.0151756858509513,0.631008501365483,0.631007161396823,-1.33996865991914e-06
