"","thetaE","mean.histdata","alphaB","powerwo_alphaB","powerwFix","powerwFixdiff"
"1",0,-0.0632835358115079,0.00722991936708651,0.521678894928587,0.521682267941158,3.37301257113953e-06
"2",0,-0.152917300633946,0.00433378508090183,0.450303353784836,0.450301968511256,-1.38527358045648e-06
"3",0,-0.261429375905867,0.00224213789417805,0.36620559006302,0.366204297104086,-1.29295893408488e-06
"4",0,-0.108461183662423,0.00560660302628406,0.485647811616129,0.485646409985344,-1.40163078465871e-06
"5",0,0.152575445103286,0.0220095082334557,0.686548433107921,0.68654717135634,-1.26175158121633e-06
"6",0,-0.113838557786478,0.00543666702011342,0.48135885275056,0.481362232770716,3.38002015598526e-06
"7",0,0.454576463752708,0.0792837334312956,0.862164149926433,0.862163362978561,-7.8694787186695e-07
"8",0,-0.229755065417138,0.00272992927354324,0.39028704815509,0.390285720654658,-1.32750043208008e-06
"9",0,0.346192616236984,0.0519026591214152,0.808755966128911,0.808758261767857,2.29563894627027e-06
"10",0,0.548226158606256,0.110739234097935,0.899268372761513,0.899267741846149,-6.30915363730722e-07
"11",0,-0.0504794682021871,0.00775979190891233,0.531872769446673,0.531871365181182,-1.4042654910007e-06
"12",0,0.0144749832133111,0.0110074996710812,0.583123630407348,0.583122247497025,-1.38291032270033e-06
"13",0,0.249675740890725,0.0344014001293748,0.75183878428511,0.751841452638783,2.66835367246365e-06
"14",0,0.0622399186579254,0.014097019886982,0.619978446728751,0.61997709488555,-1.35184320093629e-06
"15",0,0.306881703605168,0.0440694109586864,0.786606505569411,0.786605467491012,-1.03807839946235e-06
"16",0,-0.0522328606037213,0.00768536126496935,0.530479654861539,0.530478250370266,-1.40449127317144e-06
"17",0,0.183641711435753,0.0254826197682108,0.708232203872873,0.708230981233983,-1.22263888990837e-06
"18",0,-0.131277072414012,0.00491696486955965,0.467476542148861,0.467475147346724,-1.39480213690035e-06
"19",0,0.169821889197469,0.0238842421873071,0.698669520430747,0.698672459058211,2.93862746414408e-06
"20",0,-0.122716326577527,0.00516627403501819,0.474287258766099,0.474290636635632,3.37786953263919e-06
"21",0,0.0858165246143578,0.0158794127134492,0.637793457628174,0.63779662274085,3.1651126758403e-06
"22",0,0.047361599497926,0.0130628906165712,0.608596553978275,0.608595191130735,-1.3628475400429e-06
"23",0,0.186509834737705,0.0258250616822066,0.710197426328163,0.71019620747949,-1.21884867287925e-06
"24",0,-0.036913066876394,0.00835818235836798,0.542650125350725,0.54264872346777,-1.40188295516541e-06
"25",0,0.101571896710359,0.0171757850595982,0.649540239777936,0.649543367749141,3.12797120460839e-06
"26",0,-0.00499636887687982,0.00992797568736845,0.567865003179431,0.56786832740821,3.32422877824534e-06
"27",0,0.448164753440937,0.077407330984866,0.859320340250879,0.859319542332425,-7.97918454531477e-07
"28",0,0.375169834196722,0.0583570636157835,0.82414666023031,0.824145736908331,-9.23321979318104e-07
"29",0,-0.106154026261485,0.00568097650190066,0.487489207471617,0.487487805333278,-1.4021383389351e-06
"30",0,0.226012428684532,0.0309483337133827,0.7366216733922,0.736620509565554,-1.16382664605563e-06
"31",0,0.325037832571778,0.0475599339124415,0.797016731325809,0.797019111470241,2.38014443176837e-06
"32",0,-0.0832608826958989,0.00646706674798553,0.505753451059106,0.505752045705367,-1.40535373860384e-06
"33",0,0.0873612247388804,0.0160029017268333,0.638953096973868,0.638951766300349,-1.33067351948402e-06
"34",0,0.25545890325677,0.0352916796879124,0.755484639738437,0.755487286912873,2.64717443632101e-06
"35",0,0.0767642161781988,0.0151733917596162,0.630985875406525,0.630984535412283,-1.33999424223319e-06
"36",0,-0.0680036942076016,0.00704280189123283,0.517917309565447,0.517920684625009,3.37505956204964e-06
"37",0,0.24325658460786,0.0334349227748534,0.747758330555776,0.747757192231911,-1.13832386428037e-06
"38",0,-0.475328712768381,0.000538269395970246,0.220732917241052,0.22073201141709,-9.05823962032981e-07
"39",0,-0.0854127807132978,0.0063892367104784,0.504035564549017,0.504034159357529,-1.40519148816853e-06
"40",0,-0.331899437119612,0.00142785892299712,0.314598789177797,0.314597594788701,-1.19438909568226e-06
"41",0,-0.258090002180935,0.00228957556446236,0.368722657126673,0.368721360234231,-1.29689244160458e-06
"42",0,-0.0952931682377182,0.0060424931688053,0.496149085218359,0.496152466484108,3.38126574916942e-06
"43",0,0.262108025188273,0.0363391550829863,0.759642935753901,0.759641826205088,-1.10954881282765e-06
"44",0,-0.218614565559366,0.0029230115355601,0.398861497254745,0.398864790025279,3.29277053484622e-06
"45",0,0.0739711507241755,0.0149608862536823,0.628875153324653,0.62887834459701,3.19127235737238e-06
"46",0,-0.313309113268778,0.00161121698356167,0.327913446119419,0.327916555998577,3.10987915835836e-06
"47",0,0.0607933634327911,0.013993135901181,0.618872627949177,0.61887584648992,3.21854074281092e-06
"48",0,0.0884014489658793,0.0160861666444592,0.6397299706678,0.639733129868476,3.1592006761727e-06
"49",0,0.246203308057628,0.0338756066320541,0.749635144226741,0.749637825211226,2.68098448563681e-06
"50",0,0.00303998065688396,0.010361741525912,0.574175700742528,0.57417901487647,3.31413394150104e-06
"51",0,-0.153324826426109,0.0043234141768433,0.449980480144839,0.4499790950794,-1.38506543884143e-06
"52",0,-0.0317694136681403,0.00859554141709083,0.546730329898783,0.546728929211294,-1.40068748966105e-06
"53",0,-0.112247818581208,0.00548657660737684,0.482630515313943,0.482629114587873,-1.40072606980013e-06
"54",0,0.015430494483794,0.0110628893012598,0.583867808183505,0.583866425770161,-1.38241334324274e-06
